
timestamp,run_name,checkpoint_name,checkpoint_step,method,budget_type,budget,overall_accuracy,top_1_shape_accuracy,top_1_accuracy,top_1_pixel_correctness,top_2_shape_accuracy,top_2_accuracy,top_2_pixel_correctness,subspace_enabled,subspace_dim,ga_step_length,trust_region_radius
2025-08-25 17:20:22,e2zys3l4,grateful-haze-204--checkpoint:v3,3,gradient_ascent,budget,50,0.75,0.75,0.0,0.1774,0.75,0.0,0.1788,False,,,
2025-08-25 17:23:55,e2zys3l4,grateful-haze-204--checkpoint:v3,3,gradient_ascent,budget,60,0.75,0.75,0.0,0.1808,0.75,0.0,0.1815,False,,,
2025-08-25 17:27:26,e2zys3l4,grateful-haze-204--checkpoint:v3,3,gradient_ascent,budget,70,0.7,0.7,0.0,0.1663,0.7,0.0,0.1663,False,,,
2025-08-25 17:31:03,e2zys3l4,grateful-haze-204--checkpoint:v3,3,gradient_ascent,budget,80,0.7,0.7,0.0,0.164,0.7,0.0,0.1649,False,,,
2025-08-25 17:34:42,e2zys3l4,grateful-haze-204--checkpoint:v3,3,gradient_ascent,budget,90,0.7,0.7,0.0,0.164,0.7,0.0,0.1649,False,,,
2025-08-25 17:38:18,e2zys3l4,grateful-haze-204--checkpoint:v3,3,gradient_ascent,budget,100,0.7,0.7,0.0,0.164,0.7,0.0,0.1649,False,,,
2025-08-25 17:41:10,e2zys3l4,grateful-haze-204--checkpoint:v4,4,evolutionary_search,budget,0,0.55,0.55,0.0,0.1114,0.55,0.0,0.1125,True,32,0.5,
2025-08-25 17:44:33,e2zys3l4,grateful-haze-204--checkpoint:v4,4,evolutionary_search,budget,10,0.55,0.55,0.0,0.1183,0.55,0.0,0.1188,True,32,0.5,
2025-08-25 17:48:03,e2zys3l4,grateful-haze-204--checkpoint:v4,4,evolutionary_search,budget,20,0.55,0.55,0.0,0.1178,0.6,0.0,0.1355,True,32,0.5,
2025-08-25 17:51:47,e2zys3l4,grateful-haze-204--checkpoint:v4,4,evolutionary_search,budget,30,0.6,0.6,0.0,0.1588,0.65,0.0,0.1597,True,32,0.5,
2025-08-25 17:55:48,e2zys3l4,grateful-haze-204--checkpoint:v4,4,evolutionary_search,budget,40,0.6,0.6,0.0,0.1345,0.6,0.0,0.1375,True,32,0.5,
2025-08-25 18:00:01,e2zys3l4,grateful-haze-204--checkpoint:v4,4,evolutionary_search,budget,50,0.65,0.65,0.0,0.1411,0.65,0.0,0.1425,True,32,0.5,
2025-08-25 18:04:11,e2zys3l4,grateful-haze-204--checkpoint:v4,4,evolutionary_search,budget,60,0.65,0.65,0.0,0.175,0.65,0.0,0.176,True,32,0.5,
2025-08-25 18:08:29,e2zys3l4,grateful-haze-204--checkpoint:v4,4,evolutionary_search,budget,70,0.65,0.65,0.0,0.1751,0.65,0.0,0.1796,True,32,0.5,
2025-08-25 18:12:51,e2zys3l4,grateful-haze-204--checkpoint:v4,4,evolutionary_search,budget,80,0.7,0.7,0.0,0.1532,0.7,0.0,0.2013,True,32,0.5,
2025-08-25 18:17:24,e2zys3l4,grateful-haze-204--checkpoint:v4,4,evolutionary_search,budget,90,0.7,0.7,0.0,0.1513,0.7,0.0,0.1518,True,32,0.5,
2025-08-25 18:22:00,e2zys3l4,grateful-haze-204--checkpoint:v4,4,evolutionary_search,budget,100,0.7,0.7,0.0,0.195,0.7,0.0,0.2051,True,32,0.5,
2025-08-25 18:24:25,e2zys3l4,grateful-haze-204--checkpoint:v4,4,gradient_ascent,budget,0,0.55,0.55,0.0,0.1101,0.55,0.0,0.1101,False,,,
2025-08-25 18:27:51,e2zys3l4,grateful-haze-204--checkpoint:v4,4,gradient_ascent,budget,10,0.65,0.65,0.0,0.0901,0.7,0.0,0.1526,False,,,
2025-08-25 18:31:21,e2zys3l4,grateful-haze-204--checkpoint:v4,4,gradient_ascent,budget,20,0.7,0.7,0.0,0.1557,0.7,0.0,0.1602,False,,,
2025-08-25 18:34:52,e2zys3l4,grateful-haze-204--checkpoint:v4,4,gradient_ascent,budget,30,0.65,0.65,0.0,0.1301,0.65,0.0,0.133,False,,,
2025-08-25 18:38:21,e2zys3l4,grateful-haze-204--checkpoint:v4,4,gradient_ascent,budget,40,0.65,0.65,0.0,0.1318,0.65,0.0,0.1326,False,,,
2025-08-25 18:41:55,e2zys3l4,grateful-haze-204--checkpoint:v4,4,gradient_ascent,budget,50,0.7,0.7,0.0,0.16,0.7,0.0,0.1678,False,,,
